competition,year,start_date,end_date
Northern League One,2023,24/02/2023,1/10/2023
National Premier League,2023,3/03/2023,11/09/2023
Womens National Premier League,2023,5/03/2023,11/09/2023
Zone League,2023,15/04/2023,24/09/2023
Zone Premier League,2023,15/04/2023,25/09/2023
Northern League One,2022,2/04/2022,17/09/2022
National Premier League,2022,3/03/2022,2/10/2022
Womens National Premier League,2022,18/03/2022,2/10/2022
Zone League,2022,9/04/2022,17/09/2022
Zone Premier League,2022,9/04/2022,18/09/2022
Northern League One,2021,20/03/2021,21/08/2021
National Premier League,2021,27/03/2021,15/08/2021
Womens Premier League,2021,27/03/2021,5/09/2021
Zone League,2021,17/04/2021,18/09/2021
Zone Premier League,2021,17/04/2021,19/09/2021
Northern League One,2020,8/03/2020,31/10/2020
National Premier League,2020,12/07/2020,8/11/2020
Womens Premier League,2020,8/03/2020,18/10/2020
Zone League,2020,4/07/2020,10/10/2020
Zone Premier League,2020,4/07/2020,10/10/2020
Northern League One,2019,9/03/2019,8/09/2019
National Premier League,2019,7/03/2019,15/09/2019
Womens Premier League,2019,10/03/2019,1/09/2019
Zone League,2019,6/04/2019,7/09/2019
Zone Premier League,2019,6/04/2019,8/09/2019
Northern League One,2018,18/03/2018,2/09/2018
National Premier League,2018,17/03/2018,8/09/2018
Womens Premier League,2018,11/03/2018,26/08/2018
Zone League,2018,7/04/2018,8/09/2018
Zone Premier League,2018,7/04/2018,9/09/2018
Northern League One,2017,11/03/2017,27/08/2017
National Premier League,2017,10/03/2017,2/09/2017
Womens Premier League,2017,12/03/2017,20/08/2017
Zone League,2017,1/04/2017,9/09/2017
Zone Premier League,2017,1/04/2017,10/09/2017
First Division,2016,5/03/2016,28/08/2016
National Premier League,2016,9/04/2016,4/09/2016
Womens Premier League,2016,12/03/2016,21/08/2016
Zone League,2016,9/04/2016,10/09/2016
Zone Premier League,2016,9/04/2016,11/09/2016
First Division,2015,7/03/2015,30/08/2015
National Premier League,2015,10/04/2015,6/09/2015
Womens Premier League,2015,15/03/2015,23/08/2015
Zone League,2015,11/04/2015,12/09/2015
Zone Premier League,2015,11/04/2015,12/09/2015
First Division,2014,22/03/2014,7/09/2014
National Premier League,2014,4/04/2014,14/09/2019
Womens Premier League,2014,23/03/2014,31/08/2014
Zone League,2014,5/04/2014,7/09/2014
Zone Premier League,2014,5/04/2014,13/09/2014
First Division,2013,7/03/2013,1/09/2013
State League,2013,6/04/2013,8/09/2013
Womens Premier League,2013,17/03/2013,25/08/2013
Zone League,2013,13/04/2013,14/09/2013
Zone Premier League,2013,13/04/2013,15/09/2013
First Division,2012,17/03/2012,2/09/2012
State League,2012,6/04/2012,9/09/2012
Womens Premier League,2012,18/03/2012,26/08/2012
Zone League,2012,14/04/2012,16/09/2012
Zone Premier League,2012,14/04/2012,16/09/2012
First Division,2011,17/03/2011,2/09/2011
State League,2011,19/03/2011,21/08/2011
Womens Premier League,2011,,
Zone League,2011,,
Zone Premier League,2011,,
State League,2010,3/04/2010,22/08/2010
First Division,2010,,
Womens Premier League,2010,,
Zone League,2010,,
Zone Premier League,2010,,
First Division,2009,,
State League,2009,3/04/2019,23/08/2009
Womens Premier League,2009,,
Zone League,2009,,
Zone Premier League,2009,,
First Division,2008,,
State League,2008,12/04/2008,10/08/2008
Womens Premier League,2008,,
Zone League,2008,,
Zone Premier League,2008,,
