matchgrade,grade,competition,senior_comp
Australia,Australia Cup,Cup,TRUE
FFA Cup,Australia Cup,Cup,TRUE
FFA Cup  4th,Australia Cup,Cup,TRUE
FFA Cup  AR,Australia Cup,Cup,TRUE
FFA Cup  Ref,Australia Cup,Cup,TRUE
Herit. Cup,Heritage Cup,Cup,TRUE
Knock out Competition,Solo Cup,Cup,TRUE
NNSWF_State Cup Line,State Cup,Cup,TRUE
STATE CUP NNSW,First Grade,Cup,TRUE
Women's St,State Cup,Cup,TRUE
New FM First Grade Centre,First Grade,First Division,TRUE
New FM Reserve Grade Centre,Reserve Grade,First Division,TRUE
New FM Reserve Grade Line,Reserve Grade,First Division,TRUE
New FM Youth Grade Centre,Youth Grade,First Division,TRUE
New FM Youth Line,Youth Grade,First Division,TRUE
NEWFM  AR,First Grade,First Division,TRUE
NEWFM  Ref,First Grade,First Division,TRUE
NewFM 13,Under 13,First Division,FALSE
NewFM 14,Under 14,First Division,FALSE
NewFM 15,Under 15,First Division,FALSE
NewFM 16,Under 16,First Division,FALSE
NEWFM 17 AR,Under 17,First Division,FALSE
NewFM 18,Under 18,First Division,FALSE
NewFM 19,Under 19,First Division,TRUE
NEWFM 19 4th,Under 19,First Division,TRUE
NEWFM 19 AR,Under 19,First Division,TRUE
NEWFM 19 Ref,Under 19,First Division,TRUE
NewFM 1st,First Grade,First Division,TRUE
NEWFM 1st 4th,First Grade,First Division,TRUE
NEWFM 1st AR,First Grade,First Division,TRUE
NEWFM 1st Ref,First Grade,First Division,TRUE
NEWFM 23 4th,Reserve Grade,First Division,TRUE
NEWFM 23 AR,Reserve Grade,First Division,TRUE
NEWFM 23 Ref,Reserve Grade,First Division,TRUE
NewFM First Grade Line,First Grade,First Division,TRUE
NewFM Res,Reserve Grade,First Division,TRUE
NewFM15,Under 15,First Division,FALSE
NewFM17,Under 17,First Division,FALSE
NewFM19,Under 19,First Division,TRUE
NewFM23,Reserve Grade,First Division,TRUE
U/17 Centre,Under 17,First Division,FALSE
u/17 centre,Under 17,First Division,FALSE
U/17 line,Under 17,First Division,FALSE
U/17 LINE,Under 17,First Division,FALSE
U-17 Line,Under 17,First Division,FALSE
u-17 LINE,Under 17,First Division,FALSE
U-17 LINE,Under 17,First Division,FALSE
under 17 grand final centre-cameron burns,Under 17,First Division,FALSE
under 17 grand final line - Josh Terry,Under 17,First Division,FALSE
under 17 grandfinal line - Austin Bond,Under 17,First Division,FALSE
 10 Years -,Juniors,Juniors,FALSE
 10 Years B,Juniors,Juniors,FALSE
 10 Years G,Juniors,Juniors,FALSE
 11 Years -,Juniors,Juniors,FALSE
 11 Years G,Juniors,Juniors,FALSE
 12 A,Juniors,Juniors,FALSE
 12 A,Juniors,Juniors,FALSE
 12 B,Juniors,Juniors,FALSE
 12 B,Juniors,Juniors,FALSE
 12 C,Juniors,Juniors,FALSE
 12 C,Juniors,Juniors,FALSE
 12 D,Juniors,Juniors,FALSE
 12 D,Juniors,Juniors,FALSE
 12 E,Juniors,Juniors,FALSE
 12 E,Juniors,Juniors,FALSE
 12 F,Juniors,Juniors,FALSE
 12 F,Juniors,Juniors,FALSE
 12 G,Juniors,Juniors,FALSE
 12 G,Juniors,Juniors,FALSE
 12 H,Juniors,Juniors,FALSE
 12 H,Juniors,Juniors,FALSE
 12 J,Juniors,Juniors,FALSE
 12 J,Juniors,Juniors,FALSE
 12 K,Juniors,Juniors,FALSE
 12 K,Juniors,Juniors,FALSE
 12 L,Juniors,Juniors,FALSE
 12 M,Juniors,Juniors,FALSE
 12 Years -,Juniors,Juniors,FALSE
 12 Years G,Juniors,Juniors,FALSE
 13 A,Juniors,Juniors,FALSE
 13 A,Juniors,Juniors,FALSE
 13 B,Juniors,Juniors,FALSE
 13 B,Juniors,Juniors,FALSE
 13 C,Juniors,Juniors,FALSE
 13 C,Juniors,Juniors,FALSE
 13 D,Juniors,Juniors,FALSE
 13 D,Juniors,Juniors,FALSE
 13 E,Juniors,Juniors,FALSE
 13 E,Juniors,Juniors,FALSE
 13 F,Juniors,Juniors,FALSE
 13 F,Juniors,Juniors,FALSE
 13 G,Juniors,Juniors,FALSE
 13 H,Juniors,Juniors,FALSE
 13 J,Juniors,Juniors,FALSE
 14 A,Juniors,Juniors,FALSE
 14 A,Juniors,Juniors,FALSE
 14 B,Juniors,Juniors,FALSE
 14 B,Juniors,Juniors,FALSE
 14 C,Juniors,Juniors,FALSE
 14 C,Juniors,Juniors,FALSE
 14 D,Juniors,Juniors,FALSE
